bins	ERR1713356	ERR2683233	ERR4998600	ERR4998601
student389_ERR1713356_Bin_00015	0.9985493745120909	0.2434694601409203	0.0	0.0
student389_ERR1713356_Bin_00016	0.998315239308932	0.9949876594989595	0.0015911987223951865	0.0023254988627381392
student389_ERR1713356_Bin_00017	0.9997117036548916	0.998020971285898	0.0019549594459575396	0.0018822167688986545
student389_ERR1713356_Bin_00018	0.9986511178562202	0.9932486751601405	9.49120240963401e-05	0.0
student389_ERR1713356_Bin_00019	0.9975613779049981	0.9747389651306271	0.00834935766944561	0.005134051140076708
student389_ERR1713356_Bin_00020	0.9981779924441682	0.902871096552054	0.00011477212950121946	9.026349768064654e-05
student389_ERR1713356_Bin_00021	0.9990142738459404	0.9963522229747975	0.0	0.0
student389_ERR1713356_Bin_00022	0.9972169271226534	0.9639867695908199	0.00011874653983592532	0.0
student389_ERR1713356_Bin_00023	0.9976523902786724	0.9879219076454259	0.000987434729583479	0.000987434729583479
student389_ERR1713356_Bin_00024	0.997564516999328	0.732431656864236	0.0	0.0
student389_ERR1713356_Bin_00025	0.9994236544757225	0.9978515436644505	0.0010408457784972904	0.0009392720128325328
student389_ERR1713356_Bin_00026	0.9970191792618944	0.9354029490389865	0.0	0.0
student389_ERR1713356_Bin_00027	0.9980653280003179	0.9816560274101566	0.0	0.0
student389_ERR1713356_Bin_00028	0.9972536095417451	0.9819879586828739	0.0	0.0
student389_ERR1713356_Bin_00029	0.9984137781668766	0.9877220329263048	0.0031510906800316023	0.005103363705414202
student389_ERR1713356_Bin_00030	0.9965828289179116	0.8653533294119157	0.001121723550859459	0.0007394866274479878
student389_ERR1713356_Bin_00031	0.9963379294739377	0.9304374484485288	0.000485405002956226	0.0005138723640318542
student389_ERR1713356_Bin_00032	0.9976309779955609	0.6642491190169092	0.0	0.0
student389_ERR1713356_Bin_00033	0.9969878404323402	0.6939249567422788	0.0	0.0
student389_ERR1713356_Bin_00034	0.9979325821610928	0.9939322381127383	0.00048792312083134593	0.0008257160506376624
student389_ERR1713356_Bin_00035	0.9970789460636194	0.36656963354246597	0.0	0.0
student389_ERR1713356_Bin_00036	0.9966738105443634	0.8953690527218174	0.0	0.0
student389_ERR1713356_Bin_00037	0.9977631430079952	0.9490637728164127	0.0	0.0
student389_ERR1713356_Bin_00038	0.9996041838608075	0.9967211826200221	0.00882305053533431	0.007815263344056862
student389_ERR1713356_Bin_00039	0.9974018337680022	0.8739854210098384	0.0	0.0
student389_ERR1713356_Bin_00040	0.9977936553888426	0.9451976888197599	0.0	0.0
student389_ERR1713356_Bin_00041	0.9968406073344909	0.9807042051255271	0.012050080290350797	0.0104181625912242
student389_ERR1713356_Bin_00042	0.9983826383579368	0.9906141130803907	0.017254740512919864	0.018015851873890768
student389_ERR1713356_Bin_00043	0.9978321271939781	0.916118077562176	0.0	0.0
student389_ERR1713356_Bin_00044	0.9993150796627582	0.982563069747721	0.0	0.0
student389_ERR1713356_Bin_00045	0.9973978314351792	0.970771339557058	0.0	0.0
student389_ERR1713356_Bin_00046	0.9995188580898666	0.955440913100425	0.0	0.0
student389_ERR1713356_Bin_00047	0.9963517646565921	0.8590724071585338	0.0	0.0
student389_ERR1713356_Bin_00048	0.9990115551612491	0.950242651153708	0.0	0.0
student389_ERR1713356_Bin_00049	0.9974773210082104	0.6715744674743067	0.0	0.0
student389_ERR1713356_Bin_00050	0.997139315862889	0.9798415851844378	0.0013730738446476709	0.0014412503016808223
student389_ERR1713356_Bin_00051	0.9986820220380765	0.8981258724642847	0.0	0.0
student389_ERR1713356_Bin_00052	0.9988036181789968	0.9711666975356537	0.0	0.0
student389_ERR1713356_Bin_00053	0.9967994346521369	0.9841866467292782	0.0015772386034269093	0.002073966345415254
student389_ERR1713356_Bin_00054	0.9960744455418014	0.7758924547659913	0.0	0.0
student389_ERR1713356_Bin_00055	0.9987640177030696	0.9803716503691309	0.03016985249026664	0.027914184798368505
student389_ERR1713356_Bin_00056	1.0	0.0	0.0	0.06712502261624752
student389_ERR1713356_MAG_00001	0.9993603252231816	0.9944630109178617	0.0006235710761432173	0.0003775423158284616
student389_ERR1713356_MAG_00002	0.9998742612043852	0.9940684647742123	0.0004958984133175348	0.0006556380057057186
student389_ERR1713356_MAG_00003	0.9993825187710348	0.9863621478088294	0.0009567999873741857	0.0009475936644716162
student389_ERR1713356_MAG_00004	0.9962574142916151	0.9897873605947956	3.5687732342007436e-05	0.0
student389_ERR1713356_MAG_00005	0.9997473700942963	0.9826785298642611	0.0	0.0
student389_ERR1713356_MAG_00006	0.998235814944808	0.9142315787799421	0.00010007210493388614	0.0
student389_ERR1713356_MAG_00007	0.9988487172174868	0.9872293069162424	0.0	0.00016227422038759534
student389_ERR1713356_MAG_00008	0.9988959043820237	0.9715192767679331	0.00012441674501076494	0.0
student389_ERR1713356_MAG_00009	0.9975071658125597	0.9874046729783723	0.0001493963345783028	9.901850082515417e-05
student389_ERR1713356_MAG_00010	0.9981442708546395	0.9940869552282101	0.0014057427193311938	0.001430535359883772
student389_ERR1713356_MAG_00011	0.9981461739568716	0.7025175773530447	0.0	0.0
student389_ERR1713356_MAG_00012	0.9970567210018622	0.9890044038867168	0.001370588391036899	0.0016432940013591153
student389_ERR1713356_MAG_00013	0.998192889412689	0.9552835687779707	0.0	0.0
student389_ERR1713356_MAG_00014	0.9981049405945916	0.9947530871411775	0.0023099506104159897	0.0022176227084565346
